PlayerNumber,PlayerName,Team,Type,Points,Popularity,CountBest11,MatchesPlayed,Credits,IsSpinner,InPlaying11,BatOrder,PlayedLastMatch,PlayedAtleastOneMatch,CountDT
22,B Stokes,RR,AR,0.00,2.00,0,0,9.50,0,0,12,0,0,0
23,R Tewatia,RR,AR,264.00,60.00,3,5,8.50,1,1,6,1,1,3
1,Marcus Stoinis,DC,AR,259.00,61.00,2,5,9.00,0,0,5,1,1,2
2,Axar Patel,DC,AR,155.00,9.00,4,4,8.50,1,0,7,1,1,4
25,M Lomror,RR,AR,74.00,18.00,1,2,8.00,1,1,12,0,1,1
3,Daniel Sams,DC,AR,0.00,0.60,0,0,8.00,0,0,12,0,0,0
4,K Paul,DC,AR,0.00,0.90,0,0,8.00,0,0,12,0,0,0
5,Lalit Yadav,DC,AR,0.00,0.60,0,0,7.50,1,0,12,0,0,0
26,S Singh,RR,AR,0.00,0.51,0,0,7.50,0,0,12,0,0,0
24,R Parag,RR,BAT,47.00,10.00,0,4,8.00,0,0,5,1,1,0
61,S Smith,RR,BAT,194.00,85.00,3,5,10.00,0,1,2,1,1,3
32,Shikhar Dhawan,DC,BAT,179.00,40.00,3,5,10.00,0,0,2,1,1,3
33,Shreyas Iyer,DC,BAT,254.00,86.00,3,5,9.50,0,0,4,1,1,3
34,A Rahane,DC,BAT,0.00,2.00,0,0,9.00,0,0,12,0,0,0
35,Prithvi Shaw,DC,BAT,264.00,7.00,4,5,8.50,0,0,1,1,1,4
36,Shimron Hetmyer,DC,BAT,103.00,13.00,0,5,8.50,0,0,6,1,1,0
63,R Uthappa,RR,BAT,52.00,4.00,1,4,8.50,0,0,4,1,1,1
62,D Miller,RR,BAT,2.00,4.40,0,1,8.50,0,0,4,0,0,0
64,Y Jaiswal,RR,BAT,13.00,4.56,1,2,8.00,0,1,1,0,1,1
65,M Vohra,RR,BAT,0.00,1.10,0,0,8.00,0,0,12,0,0,0
66,A Joshi,RR,BAT,0.00,1.39,0,0,7.50,1,0,12,0,0,0
75,Kagiso Rabada,DC,BWL,368.00,75.00,4,5,9.50,0,0,9,1,1,4
127,J Archer,RR,BWL,263.00,84.00,4,5,9.00,0,1,9,1,1,4
76,R Ashwin,DC,BWL,93.00,16.00,1,3,9.00,0,0,12,0,0,1
128,T Curran,RR,BWL,183.00,37.00,3,5,8.50,0,1,7,1,1,3
129,S Gopal,RR,BWL,132.00,13.00,2,5,8.50,1,1,10,1,1,2
131,J Unadkat,RR,BWL,48.00,12.00,1,2,8.50,0,0,11,1,1,1
78,Ishant Sharma,DC,BWL,4.00,6.95,0,1,8.50,0,0,12,1,1,0
79,Sandeep Lamichhane,DC,BWL,0.00,0.65,0,0,8.50,1,0,12,0,0,0
130,A Tye,RR,BWL,0.00,1.00,0,0,8.50,0,0,12,0,0,0
80,Anrich Nortje,DC,BWL,219.00,54.00,3,5,8.50,0,0,10,1,1,3
135,A Rajpoot,RR,BWL,63.00,4.72,1,2,8.00,0,1,8,1,1,1
82,Harshal Patel,DC,BWL,62.00,14.00,0,0,8.00,0,0,12,0,0,0
83,Mohit Sharma,DC,BWL,23.00,1.10,0,1,8.00,0,0,12,0,0,0
81,Avesh Khan,DC,BWL,0.00,3.39,0,0,8.00,0,0,11,0,0,0
132,M Markande,RR,BWL,0.00,0.74,0,0,8.00,1,0,12,0,0,0
133,K Tyagi,RR,BWL,27.00,0.33,0,1,8.00,0,0,12,0,0,0
134,O Thomas,RR,BWL,0.00,0.48,0,0,8.00,0,0,12,0,0,0
136,V Aaron,RR,BWL,0.00,0.29,0,0,8.00,0,0,12,0,0,0
84,Tushar Deshpande,DC,BWL,0.00,1.77,0,0,7.50,0,0,12,0,0,0
137,A Singh,RR,BWL,0.00,2.31,0,0,7.50,0,0,12,0,0,0
159,Butler,RR,WK,181.00,44.00,3,5,10.00,0,1,11,1,1,3
160,Samson,RR,WK,308.00,73.00,2,5,9.50,0,1,3,1,1,2
147,Rishabh Pant,DC,WK,281.00,74.00,5,5,9.50,0,0,3,1,1,5
148,Alex Carey,DC,WK,0.00,1.28,0,0,8.50,0,0,12,0,0,0
161,Rawat,RR,WK,0.00,0.47,0,0,8.00,0,0,12,0,0,0